run_id,controller,scenario,metric,value,higher_is_better
seed_102,FLC,cascading_grid_fault_and_recovery,spectral_error_power,0.0,False
seed_102,FLC,cascading_grid_fault_and_recovery,stability_flag,1.0,True
seed_102,FLC,cascading_grid_fault_and_recovery,time_above_temp_limit_s,0.0,False
seed_102,FLC,cascading_grid_fault_and_recovery,time_in_saturation_s,0.0,False
seed_102,FLC,cascading_grid_fault_and_recovery,time_out_of_band_s,0.02,False
seed_102,FLC,cascading_grid_fault_and_recovery,total_time_unsafe_s,0.02,False
seed_102,FLC,cascading_grid_fault_and_recovery,worst_tail_abs_err,1305.497610710838,False
seed_102,FLC,combined_challenge_final_exam,abs_err_p50,321.1324150181945,False
seed_102,FLC,combined_challenge_final_exam,abs_err_p90,1103.6638607993702,False
seed_102,FLC,combined_challenge_final_exam,abs_err_p95,1206.1786341205566,False
seed_102,FLC,combined_challenge_final_exam,arrhenius_exposure,4.6432850870115777e-14,False
seed_102,FLC,combined_challenge_final_exam,bandwidth_proxy_hz,,True
seed_102,FLC,combined_challenge_final_exam,coherence_lowmid,,True
seed_102,FLC,combined_challenge_final_exam,cvar_abs_err,1305.497610710838,False
seed_102,FLC,combined_challenge_final_exam,effort_l1,0.1868233002789005,False
seed_102,FLC,combined_challenge_final_exam,effort_l2,0.1292327032817001,False
seed_102,FLC,combined_challenge_final_exam,glfi,0.8475489292683385,True
seed_102,FLC,combined_challenge_final_exam,iae_abs_err,183.52059894677387,False
seed_102,FLC,combined_challenge_final_exam,itae_abs_err,57.354813490869226,False
seed_102,FLC,combined_challenge_final_exam,jerk_l2,3.5578245289440225,False
seed_102,FLC,combined_challenge_final_exam,log_decrement,,False
seed_102,FLC,combined_challenge_final_exam,max_delta_temp_over_limit_C,0.0,False
seed_102,FLC,combined_challenge_final_exam,max_freq_deviation_hz,1.0438995361328125,False
seed_102,FLC,combined_challenge_final_exam,max_rocof_hz_s,7.744026184082024,False
seed_102,FLC,combined_challenge_final_exam,overshoot_pct,1.9876298034497992,False
seed_102,FLC,combined_challenge_final_exam,reversal_count,0.0,False
seed_102,FLC,combined_challenge_final_exam,rmse_error,626.8418259748704,False
seed_102,FLC,combined_challenge_final_exam,safety_margin_min,-0.0438995361328125,True
seed_102,FLC,combined_challenge_final_exam,saturation_events,0.0,False
seed_102,FLC,combined_challenge_final_exam,settling_time_s,,False
seed_102,FLC,combined_challenge_final_exam,spectral_error_power,0.0,False
seed_102,FLC,combined_challenge_final_exam,stability_flag,1.0,True
seed_102,FLC,combined_challenge_final_exam,time_above_temp_limit_s,0.0,False
seed_102,FLC,combined_challenge_final_exam,time_in_saturation_s,0.0,False
seed_102,FLC,combined_challenge_final_exam,time_out_of_band_s,0.02,False
seed_102,FLC,combined_challenge_final_exam,total_time_unsafe_s,0.02,False
