controller,scenario,metric,higher_is_better,value,value_std,n,run_id
FLC,cascading_grid_fault_and_recovery,jerk_l2,False,3.5578245289440225,0.0,3,multi_seed
FLC,cascading_grid_fault_and_recovery,log_decrement,False,,,0,multi_seed
FLC,cascading_grid_fault_and_recovery,max_delta_temp_over_limit_C,False,0.0,0.0,3,multi_seed
FLC,cascading_grid_fault_and_recovery,max_freq_deviation_hz,False,1.0438995361328125,0.0,3,multi_seed
FLC,cascading_grid_fault_and_recovery,max_rocof_hz_s,False,7.744026184082024,0.0,3,multi_seed
FLC,cascading_grid_fault_and_recovery,overshoot_pct,False,1.9876298034497992,0.0,3,multi_seed
FLC,cascading_grid_fault_and_recovery,reversal_count,False,0.0,0.0,3,multi_seed
FLC,cascading_grid_fault_and_recovery,rmse_error,False,626.8418259748704,0.0,3,multi_seed
FLC,cascading_grid_fault_and_recovery,safety_margin_min,True,-0.0438995361328125,0.0,3,multi_seed
FLC,cascading_grid_fault_and_recovery,saturation_events,False,0.0,0.0,3,multi_seed
FLC,cascading_grid_fault_and_recovery,settling_time_s,False,,,0,multi_seed
FLC,cascading_grid_fault_and_recovery,spectral_error_power,False,0.0,0.0,3,multi_seed
FLC,cascading_grid_fault_and_recovery,stability_flag,True,1.0,0.0,3,multi_seed
FLC,cascading_grid_fault_and_recovery,time_above_temp_limit_s,False,0.0,0.0,3,multi_seed
FLC,cascading_grid_fault_and_recovery,time_in_saturation_s,False,0.0,0.0,3,multi_seed
FLC,cascading_grid_fault_and_recovery,time_out_of_band_s,False,0.02,0.0,3,multi_seed
FLC,cascading_grid_fault_and_recovery,total_time_unsafe_s,False,0.02,0.0,3,multi_seed
FLC,cascading_grid_fault_and_recovery,worst_tail_abs_err,False,1305.497610710838,0.0,3,multi_seed
FLC,combined_challenge_final_exam,abs_err_p50,False,321.1324150181945,0.0,3,multi_seed
FLC,combined_challenge_final_exam,abs_err_p90,False,1103.6638607993702,0.0,3,multi_seed
FLC,combined_challenge_final_exam,abs_err_p95,False,1206.1786341205566,0.0,3,multi_seed
