controller,scenario,pc1,pc2,action,abs_action
FLC,actuator_saturation_challenge,1.5222629133514576,1.0694724175175487,0.8,0.8
FLC,actuator_saturation_challenge,1.6977102325458082,1.0977408689613732,0.8,0.8
FLC,actuator_saturation_challenge,1.788212051162753,1.1178735466676253,0.8,0.8
FLC,actuator_saturation_challenge,1.805594459448888,1.1339184557628204,0.8,0.8
FLC,actuator_saturation_challenge,1.762769093733268,1.1492788767227649,0.8,0.8
FLC,actuator_saturation_challenge,1.6072500339385722,1.0734448033841955,0.703972038039595,0.703972038039595
FLC,actuator_saturation_challenge,1.3941349319087497,0.9976651713273887,0.603972038039595,0.603972038039595
FLC,actuator_saturation_challenge,1.1281851519355492,0.9279743591965018,0.503972038039595,0.503972038039595
FLC,actuator_saturation_challenge,0.8119564671430097,0.8664086403810248,0.403972038039595,0.403972038039595
FLC,actuator_saturation_challenge,0.44799955571593675,0.8147915970078278,0.303972038039595,0.303972038039595
FLC,actuator_saturation_challenge,0.03874740901126801,0.7747361877185509,0.203972038039595,0.203972038039595
FLC,actuator_saturation_challenge,-0.4025143270886802,0.7646125057866848,0.1215267229266449,0.1215267229266449
FLC,actuator_saturation_challenge,-0.8516178592722204,0.8177749965936197,0.0899224987167356,0.0899224987167356
FLC,actuator_saturation_challenge,-1.3187241369006277,0.9090420750551177,0.0823135619021776,0.0823135619021776
FLC,actuator_saturation_challenge,-1.8086922917149475,1.022910867355608,0.0823135619021776,0.0823135619021776
FLC,actuator_saturation_challenge,-2.3217749031692727,1.1520474703367802,0.0823135619021776,0.0823135619021776
FLC,actuator_saturation_challenge,-2.8554013286713436,1.296159153946603,0.0823135619021776,0.0823135619021776
FLC,baseline_steady_state,1.4554568089868198,0.16362403764832906,0.8,0.8
FLC,baseline_steady_state,1.657609314054268,0.1713151817859848,0.8,0.8
FLC,baseline_steady_state,1.77475977569893,0.17091412048440877,0.8,0.8
FLC,baseline_steady_state,1.818734284167402,0.16646885887011537,0.8,0.8
FLC,baseline_steady_state,1.8024557843578146,0.16137396375924465,0.8,0.8
FLC,baseline_steady_state,1.734834875323515,0.15812412600420714,0.8,0.8
FLC,baseline_steady_state,1.6189399017641017,0.15283537939448452,0.7940372668974592,0.7940372668974592
FLC,baseline_steady_state,1.4638860256609805,0.15369135620871544,0.7890771881903064,0.7890771881903064
FLC,baseline_steady_state,1.215936782958899,0.0723748928967029,0.6927167629238788,0.6927167629238788
FLC,baseline_steady_state,0.9251615462137466,-0.005135205094140672,0.5927167629238789,0.5927167629238789
FLC,baseline_steady_state,0.5940964485312586,-0.07405303265940222,0.4927167629238789,0.4927167629238789
FLC,baseline_steady_state,0.22369394176570742,-0.13313103868611403,0.3927167629238789,0.3927167629238789
FLC,baseline_steady_state,-0.1848630302179565,-0.1811905768247654,0.2927167629238789,0.2927167629238789
FLC,baseline_steady_state,-0.6302295869909307,-0.21715990660459528,0.1927167629238789,0.1927167629238789
FLC,baseline_steady_state,-1.1105263295786876,-0.23942874328171335,0.0934061192629882,0.0934061192629882
FLC,baseline_steady_state,-1.589542609884885,-0.19304718935122075,0.0507123312287242,0.0507123312287242
FLC,baseline_steady_state,-2.077873916665034,-0.10175624838195417,0.0395041875262693,0.0395041875262693
FLC,baseline_steady_state,-2.5828147551435956,0.014970297500354527,0.0393757810986762,0.0393757810986762
FLC,baseline_steady_state,-3.1082913797377736,0.14641174917616886,0.0393757810986762,0.0393757810986762
FLC,baseline_steady_state,-3.650729530556584,0.29222770475608223,0.0393757810986762,0.0393757810986762
FLC,cascading_grid_fault_and_recovery,1.4554568089868198,0.16362403764832906,0.8,0.8
FLC,cascading_grid_fault_and_recovery,1.657609314054268,0.1713151817859848,0.8,0.8
FLC,cascading_grid_fault_and_recovery,1.77475977569893,0.17091412048440877,0.8,0.8
FLC,cascading_grid_fault_and_recovery,1.818734284167402,0.16646885887011537,0.8,0.8
FLC,cascading_grid_fault_and_recovery,1.8024557843578146,0.16137396375924465,0.8,0.8
FLC,cascading_grid_fault_and_recovery,1.734834875323515,0.15812412600420714,0.8,0.8
FLC,cascading_grid_fault_and_recovery,1.6189399017641017,0.15283537939448452,0.7940372668974592,0.7940372668974592
FLC,cascading_grid_fault_and_recovery,1.4638860256609805,0.15369135620871544,0.7890771881903064,0.7890771881903064
FLC,cascading_grid_fault_and_recovery,1.215936782958899,0.0723748928967029,0.6927167629238788,0.6927167629238788
FLC,cascading_grid_fault_and_recovery,0.9251615462137466,-0.005135205094140672,0.5927167629238789,0.5927167629238789
FLC,cascading_grid_fault_and_recovery,0.5940964485312586,-0.07405303265940222,0.4927167629238789,0.4927167629238789
FLC,cascading_grid_fault_and_recovery,0.22369394176570742,-0.13313103868611403,0.3927167629238789,0.3927167629238789
FLC,cascading_grid_fault_and_recovery,-0.1848630302179565,-0.1811905768247654,0.2927167629238789,0.2927167629238789
FLC,cascading_grid_fault_and_recovery,-0.6302295869909307,-0.21715990660459528,0.1927167629238789,0.1927167629238789
FLC,cascading_grid_fault_and_recovery,-1.1105263295786876,-0.23942874328171335,0.0934061192629882,0.0934061192629882
FLC,cascading_grid_fault_and_recovery,-1.589542609884885,-0.19304718935122075,0.0507123312287242,0.0507123312287242
FLC,cascading_grid_fault_and_recovery,-2.077873916665034,-0.10175624838195417,0.0395041875262693,0.0395041875262693
FLC,cascading_grid_fault_and_recovery,-2.5828147551435956,0.014970297500354527,0.0393757810986762,0.0393757810986762
FLC,cascading_grid_fault_and_recovery,-3.1082913797377736,0.14641174917616886,0.0393757810986762,0.0393757810986762
