controller,scenario,psd_bandpower_error,psd_bandpower_control,noise_amplification,damping_ratio,natural_frequency,tags,seed
RL,sudden_load_increase_5pct,0.0,0.0,1.5001769243105924e-06,,,step,101
PID,actuator_saturation_challenge,0.0,0.0,8.312171120249498e-07,,,saturation|stress_test,102
PID,baseline_steady_state,0.0,0.0,8.939755624512695e-07,,,baseline,102
PID,cascading_grid_fault_and_recovery,0.0,0.0,8.939755624512695e-07,,,adversarial|fault,102
PID,combined_challenge_final_exam,0.0,0.0,8.939755624512695e-07,,,adversarial|compound,102
PID,deceptive_sensor_noise,0.0,0.0,1.6480826821424106e-06,,,adversarial|noise,102
PID,gradual_load_increase_10pct,0.0,0.0,1.6480826821424106e-06,,,ramp|validation,102
PID,multisine_frequency_probe,0.0,0.0,1.0060253956680382e-06,,,multisine|frequency_probe,102
PID,parameter_randomization_drills,0.0,0.0,1.0452154707743825e-06,,,adversarial|randomization,102
PID,prbs_excitation_probe,0.0,0.0,5.554148597908823e-07,-0.0653059831370173,74.0779624229989,prbs|frequency_probe,102
PID,steady_state_efficiency_probe,0.0,0.0,8.939755624512695e-07,,,efficiency|validation,102
PID,sudden_load_increase_5pct,0.0,0.0,8.939755624512695e-07,,,step,102
FLC,actuator_saturation_challenge,0.0,0.0,5.652804448547395e-07,,,saturation|stress_test,102
FLC,baseline_steady_state,0.0,0.0,5.208596271276029e-07,,,baseline,102
FLC,cascading_grid_fault_and_recovery,0.0,0.0,5.208596271276029e-07,,,adversarial|fault,102
FLC,combined_challenge_final_exam,0.0,0.0,5.208596271276029e-07,,,adversarial|compound,102
FLC,deceptive_sensor_noise,0.0,0.0,4.834307161829856e-07,,,adversarial|noise,102
FLC,gradual_load_increase_10pct,0.0,0.0,4.834307161829856e-07,,,ramp|validation,102
FLC,multisine_frequency_probe,0.0,0.0,4.981666193452659e-07,,,multisine|frequency_probe,102
FLC,parameter_randomization_drills,0.0,0.0,4.806372407906874e-07,,,adversarial|randomization,102
FLC,prbs_excitation_probe,0.0,0.0,3.533573860837118e-07,-0.0952514633032088,74.25745776892298,prbs|frequency_probe,102
FLC,steady_state_efficiency_probe,0.0,0.0,5.208596271276029e-07,,,efficiency|validation,102
FLC,sudden_load_increase_5pct,0.0,0.0,5.208596271276029e-07,,,step,102
RL,actuator_saturation_challenge,0.0,0.0,1.2538975233845496e-06,,,saturation|stress_test,102
RL,baseline_steady_state,0.0,0.0,1.5001769243105924e-06,,,baseline,102
RL,cascading_grid_fault_and_recovery,0.0,0.0,1.5001769243105924e-06,,,adversarial|fault,102
RL,combined_challenge_final_exam,0.0,0.0,1.5001769243105924e-06,,,adversarial|compound,102
RL,deceptive_sensor_noise,0.0,0.0,5.713625600351825e-07,,,adversarial|noise,102
RL,gradual_load_increase_10pct,0.0,0.0,5.713625600351825e-07,,,ramp|validation,102
RL,multisine_frequency_probe,0.0,0.0,1.1331402074434068e-06,,,multisine|frequency_probe,102
RL,parameter_randomization_drills,0.0,0.0,1.441766085484688e-06,,,adversarial|randomization,102
RL,prbs_excitation_probe,0.0,0.0,8.216494657378143e-07,-0.1027465042454801,70.18461703909028,prbs|frequency_probe,102
RL,steady_state_efficiency_probe,0.0,0.0,1.5001769243105924e-06,,,efficiency|validation,102
RL,sudden_load_increase_5pct,0.0,0.0,1.5001769243105924e-06,,,step,102
